Name,G,GS,Rushing_Att,Rushing_Yds,Rushing_TD,Receiving_R/G,Receiving_Y/G,Fmb,AV,Awards,Rushing_1D,Rushing_Succ%,Rushing_Y/A,Rushing_A/G,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_1D,Receiving_Succ%,Receiving_Ctch%,Receiving_Y/Tgt,Age,G_last_season,GS_last_season,Rushing_Att_last_season,Rushing_Yds_last_season,Rushing_TD_last_season,Receiving_Lng,Receiving_R/G_last_season,Receiving_Y/G_last_season,Fmb_last_season,AV_last_season,Awards_last_season,Rushing_1D_last_season,Rushing_Succ%_last_season,Rushing_Lng,Rushing_Y/A_last_season,Rushing_Y/G,Rushing_A/G_last_season,Receiving_Tgt_last_season,Receiving_Rec_last_season,Receiving_Yds_last_season,Receiving_Y/R_last_season,Receiving_TD_last_season,Receiving_1D_last_season,Receiving_Succ%_last_season,Receiving_Ctch%_last_season,Receiving_Y/Tgt_last_season,Cap
Jordan Todman,33.0,3.0,111.0,450.0,3.0,1.1666666666666667,6.566666666666666,0.0,4.0,0,22.0,21.066666666666666,3.966666666666667,3.266666666666667,64.0,40.0,314.0,5.400000000000001,2.0,12.0,17.066666666666666,73.8,3.3000000000000003,27,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765000.0
Jordan Todman,33.0,3.0,111.0,450.0,3.0,1.1666666666666667,6.566666666666666,0.0,4.0,0,22.0,21.066666666666666,3.966666666666667,3.266666666666667,64.0,40.0,314.0,5.400000000000001,2.0,12.0,17.066666666666666,73.8,3.3000000000000003,27,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745000.0
Joseph Randle,29.0,2.0,105.0,507.0,5.0,0.44999999999999996,3.05,2.0,5.0,0,19.0,44.85,4.85,3.7,15.0,12.0,84.0,6.699999999999999,0.0,3.0,55.0,80.0,5.35,24,6.0,6.0,76.0,315.0,4.0,25.0,1.7,14.3,1.0,2.0,0,15.0,44.7,37.0,4.1,52.5,12.7,10.0,10.0,86.0,8.6,0.0,6.0,80.0,100.0,8.6,0.0
Josh Harris,5.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0,2.0,11.1,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,11.1,4.0,1.8,3.2,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Forsett,103.0,21.0,582.0,2958.0,16.0,1.542857142857143,10.514285714285714,6.0,29.0,0,131.0,38.233333333333334,4.916666666666667,5.242857142857143,222.0,159.0,1113.0,7.6499999999999995,1.0,46.0,40.083333333333336,72.10000000000001,5.333333333333333,31,9.0,6.0,87.0,291.0,1.0,11.0,2.2,9.4,2.0,2.0,0,10.0,32.2,64.0,3.3,32.3,9.7,27.0,20.0,85.0,4.3,0.0,4.0,48.1,74.1,3.1,3000000.0
Knowshon Moreno,63.0,45.0,876.0,3616.0,27.0,2.15,19.033333333333335,10.0,35.0,0,189.0,48.300000000000004,4.3,12.9,205.0,158.0,1409.0,8.666666666666666,9.0,67.0,57.46666666666667,80.1,6.916666666666667,27,3.0,0.0,31.0,148.0,1.0,8.0,0.3,2.7,0.0,1.0,0,8.0,64.5,15.0,4.8,49.3,10.3,1.0,1.0,8.0,8.0,0.0,0.0,100.0,100.0,8.0,0.0
Kory Sheets,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1.0,100.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,100.0,5.0,5.0,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LaMichael James,17.0,0.0,44.0,193.0,0.0,0.3333333333333333,2.966666666666667,3.0,2.0,0,12.0,24.666666666666668,3.766666666666667,3.233333333333333,9.0,5.0,45.0,8.85,0.0,4.0,42.233333333333334,42.233333333333334,3.6999999999999997,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680000.0
LaMichael James,17.0,0.0,44.0,193.0,0.0,0.3333333333333333,2.966666666666667,3.0,2.0,0,12.0,24.666666666666668,3.766666666666667,3.233333333333333,9.0,5.0,45.0,8.85,0.0,4.0,42.233333333333334,42.233333333333334,3.6999999999999997,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680000.0
Leon Washington,126.0,14.0,487.0,2271.0,16.0,1.3111111111111111,10.088888888888889,22.0,34.0,0,88.0,31.577777777777776,4.133333333333334,4.022222222222222,236.0,168.0,1286.0,7.7,4.0,58.0,36.51111111111111,60.833333333333336,4.688888888888888,32,16.0,0.0,13.0,57.0,0.0,25.0,1.4,9.9,3.0,1.0,0,1.0,15.4,16.0,4.4,3.6,0.8,31.0,22.0,159.0,7.2,2.0,8.0,32.3,71.0,5.1,0.0
